"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"76","M4",15,"zona costera","7",700,0,2.415,2.415,0,0,0,20,12,24,18,25,0,0,28.98,43.47,28.98,43.47,12,-966.248058441312,-937.268058441312,-1150.56052046713,-1121.58052046713,-1364.91198697332,-1335.93198697332,-966.248058441312,-922.778058441312,-1150.56052046713,-1107.09052046713,-1364.91198697332,-1321.44198697332
"90","M4",25,"zona costera","7",0,15.094,71.024,55.93,0,10.56,0,20,12,24,18,25,750.01344,750.01344,973.04,1368.996,223.02656,618.98256,10,-1142.52453327928,-919.49797327928,-1507.31043220908,-1284.28387220908,-1977.50568875687,-1754.47912875687,-1124.86130413356,-505.878744133556,-1487.83708387238,-868.854523872385,-1956.0569490684,-1337.0743890684
"63","M4",1,"zona costera","11",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"96","M4",3,"zona costera","11",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"77","M4",15,"zona costera","11",700,0,14.78,14.78,0,0,0,20,12,24,18,25,0,0,177.36,266.04,177.36,266.04,12,-966.248058441312,-788.888058441312,-1150.56052046713,-973.20052046713,-1364.91198697332,-1187.55198697332,-966.248058441312,-700.208058441312,-1150.56052046713,-884.52052046713,-1364.91198697332,-1098.87198697332
"82","M4",25,"zona costera","11",0,117.56,196.992,79.432,0,10.56,0,20,12,24,18,25,2080.23552,2080.23552,3304.384,4251.216,1224.14848,2170.98048,10,-961.650141240458,262.498338759542,-1307.900119842,-83.7516398420012,-1757.86704176068,-533.718561760683,-853.549716075323,1317.43076392468,-1188.72161532176,982.258864678236,-1626.59897857412,544.381501425877
"66","M4",1,"zona costera","16",1250,0,0,0,2200,0,0,0,0,0,0,25,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"97","M4",3,"zona costera","16",1250,0,0,0,0,0,1527,0,0,0,0,25,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"80","M4",15,"zona costera","16",700,0.795,56.324,55.529,0,0,0,20,12,24,18,25,0,0,682.248,1018.602,682.248,1018.602,12,-966.248058441312,-284.000058441312,-1150.56052046713,-468.31252046713,-1364.91198697332,-682.663986973321,-966.248058441312,52.3539415586877,-1150.56052046713,-131.95852046713,-1364.91198697332,-346.309986973321
"81","M4",25,"zona costera","16",0,313.566,402.004,88.438,0,10.56,0,20,12,24,18,25,4245.16224,4245.16224,7332.576,9117.468,3087.41376,4872.30576,10,-346.194486518145,2741.21927348185,-629.372866907705,2458.04089309229,-1010.50946523683,2076.90429476317,63.8191626247719,4936.12492262477,-177.341217049792,4694.96454295021,-512.623379027404,4359.6823809726
